country_code,name_en,region_code,region_code_en
AFG,Afghanistan,142,Asia
ALB,Albania,150,Europe
ALG,Algeria,002,Africa
AND,Andorra,150,Europe
ANG,Angola,002,Africa
AIA,Anguilla,419,Latin America and the Caribbean
ANT,Antigua and Barbuda,419,Latin America and the Caribbean
ARG,Argentina,419,Latin America and the Caribbean
ARM,Armenia,142,Asia
ABW,Aruba,419,Latin America and the Caribbean
AUL,Australia,009,Oceania
AUS,Austria,150,Europe
AZE,Azerbaijan,142,Asia
BHS,Bahamas,419,Latin America and the Caribbean
BAH,Bahrain,142,Asia
BGD,Bangladesh,142,Asia
BAR,Barbados,419,Latin America and the Caribbean
BLR,Belarus,150,Europe
BEL,Belgium,150,Europe
BZE,Belize,419,Latin America and the Caribbean
BEN,Benin,002,Africa
BER,Bermuda,021,Northern America
BHU,Bhutan,142,Asia
BOL,Bolivia (Plurinational State of),419,Latin America and the Caribbean
BES,"Bonaire, Sint Eustatius and Saba",419,Latin America and the Caribbean
BSN,Bosnia and Herzegovina,150,Europe
BOT,Botswana,002,Africa
BRA,Brazil,419,Latin America and the Caribbean
BVI,British Virgin Islands,419,Latin America and the Caribbean
BRU,Brunei Darussalam,142,Asia
BUL,Bulgaria,150,Europe
BKF,Burkina Faso,002,Africa
BDI,Burundi,002,Africa
CAM,Cambodia,142,Asia
CMR,Cameroon,002,Africa
CAN,Canada,021,Northern America
CVI,Cape Verde,002,Africa
CAY,Cayman Islands,419,Latin America and the Caribbean
CAR,Central African Republic,002,Africa
CHD,Chad,002,Africa
CHL,Chile,419,Latin America and the Caribbean
CHI,China,142,Asia
COL,Colombia,419,Latin America and the Caribbean
COI,Comoros,002,Africa
COB,Congo,002,Africa
COK,Cook Islands,009,Oceania
COS,Costa Rica,419,Latin America and the Caribbean
HRV,Croatia,150,Europe
CUB,Cuba,419,Latin America and the Caribbean
CUW,Curacao,419,Latin America and the Caribbean
CYP,Cyprus,142,Asia
CZE,Czech Republic,150,Europe
ICO,Côte d'Ivoire,002,Africa
KRN,Democratic People's Republic of Korea,142,Asia
COD,Democratic Republic of the Congo,002,Africa
DEN,Denmark,150,Europe
DJB,Djibouti,002,Africa
DMA,Dominica,419,Latin America and the Caribbean
DOM,Dominican Republic,419,Latin America and the Caribbean
ECU,Ecuador,419,Latin America and the Caribbean
ARE,Egypt,002,Africa
SAL,El Salvador,419,Latin America and the Caribbean
EGU,Equatorial Guinea,002,Africa
ERT,Eritrea,002,Africa
EST,Estonia,150,Europe
ETH,Ethiopia,002,Africa
FRO,Faeroe Islands,150,Europe
YUG,Federal Republic of Yugoslavia,150,Europe
FIJ,Fiji,009,Oceania
FIN,Finland,150,Europe
