HDI Rank;Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
168; Afghanistan;;;;;;;;;;;;;0,259027778;0,265972222;0,276388889;0,283333333;0,289583333;0,297916667;0,303472222;0,314583333;0,321527778;0,327083333;0,334722222;0,338194444;0,340972222;0,342361111;0,343055556;0,345833333
68; Albania;0,447916667;0,434722222;0,423611111;0,425694444;0,429861111;0,438888889;0,445138889;0,445138889;0,452777778;0,459722222;0,464583333;0,469444444;0,473611111;0,478472222;0,481944444;0,488888889;0,49375;0,5;0,502777778;0,50625;0,514583333;0,522222222;0,532638889;0,535416667;0,536805556;0,538888889;0,543055556;0,545138889
85; Algeria;0,400694444;0,403472222;0,407638889;0,410416667;0,413194444;0,416666667;0,422222222;0,428472222;0,435416667;0,441666667;0,447222222;0,453472222;0,461111111;0,468055556;0,475;0,480555556;0,484722222;0,490972222;0,492361111;0,499305556;0,50625;0,511111111;0,513888889;0,517361111;0,51875;0,520138889;0,522916667;0,523611111
35; Andorra;;;;;;;;;;;0,527083333;0,532638889;0,541666667;0,569444444;0,573611111;0,56875;0,575694444;0,575694444;0,577083333;0,576388889;0,575;0,574305556;0,589583333;0,590277778;0,592361111;0,593055556;0,594444444;0,595833333
147; Angola;;;;;;;;;;0,259722222;0,26875;0,278472222;0,290277778;0,297916667;0,306944444;0,315972222;0,327083333;0,341666667;0,348611111;0,3625;0,361111111;0,371527778;0,377083333;0,384722222;0,391666667;0,397222222;0,400694444;0,403472222
70; Antigua and Barbuda;;;;;;;;;;;;;;;;0,531944444;0,536111111;0,540277778;0,539583333;0,534722222;0,531944444;0,529166667;0,53125;0,533333333;0,534722222;0,538194444;0,540277778;0,541666667
47; Argentina;0,488888889;0,495138889;0,5;0,503472222;0,505555556;0,507638889;0,5125;0,518055556;0,522916667;0,530555556;0,535416667;0,538888889;0,534027778;0,538194444;0,541666667;0,543055556;0,546527778;0,55;0,552083333;0,554861111;0,564583333;0,56875;0,568055556;0,569444444;0,569444444;0,570833333;0,570833333;0,572916667
83; Armenia;0,438194444;0,436111111;0,402777778;0,408333333;0,415972222;0,420138889;0,425;0,432638889;0,441666667;0,445833333;0,449305556;0,452777778;0,460416667;0,466666667;0,472222222;0,48125;0,490277778;0,5;0,504861111;0,502777778;0,505555556;0,507638889;0,511805556;0,515277778;0,517361111;0,519444444;0,520138889;0,524305556
3; Australia;0,601388889;0,602083333;0,602777778;0,605555556;0,607638889;0,613194444;0,615277778;0,617361111;0,619444444;0,621527778;0,623611111;0,625;0,627083333;0,627777778;0,629861111;0,630555556;0,632638889;0,635416667;0,638888889;0,639583333;0,640972222;0,642361111;0,645138889;0,646527778;0,647916667;0,65;0,651388889;0,652083333
20; Austria;0,552083333;0,555555556;0,559027778;0,560416667;0,564583333;0,567361111;0,569444444;0,572222222;0,579861111;0,579166667;0,581944444;0,589583333;0,581944444;0,584722222;0,589583333;0,59375;0,597916667;0,611805556;0,613888889;0,615277778;0,621527778;0,622916667;0,624305556;0,622916667;0,625694444;0,627083333;0,629166667;0,630555556
80; Azerbaijan;;;;;;0,425;0,425;0,428472222;0,434722222;0,439583333;0,444444444;0,45;0,45625;0,4625;0,468055556;0,471527778;0,488888889;0,492361111;0,499305556;0,511111111;0,513888889;0,514583333;0,517361111;0,522222222;0,526388889;0,526388889;0,525694444;0,525694444
54; Bahamas;;;;;;;;;;;0,538888889;0,540972222;0,542361111;0,543055556;0,544444444;0,545833333;0,547222222;0,547916667;0,548611111;0,546527778;0,547916667;0,550694444;0,560416667;0,560416667;0,560416667;0,560416667;0,559722222;0,560416667
43; Bahrain;0,518055556;0,522222222;0,525694444;0,53125;0,534027778;0,538194444;0,540277778;0,540972222;0,54375;0,545833333;0,55;0,55;0,549305556;0,550694444;0,55;0,549305556;0,550694444;0,552777778;0,552777778;0,551388889;0,552777778;0,554166667;0,555555556;0,560416667;0,5625;0,577777778;0,5875;0,5875
136; Bangladesh;0,26875;0,273611111;0,279166667;0,284027778;0,289583333;0,295138889;0,300694444;0,306944444;0,313194444;0,319444444;0,325;0,33125;0,335416667;0,340277778;0,345138889;0,350694444;0,35625;0,361111111;0,363194444;0,371527778;0,378472222;0,386805556;0,39375;0,399305556;0,404861111;0,411111111;0,414583333;0,422222222
