hdi_rank,country,2008,2009,2010,2011,2012,2013,2014,2015,2016
168, Afghanistan,"0,303472222","0,314583333","0,321527778","0,327083333","0,334722222","0,338194444","0,340972222","0,342361111","0,343055556"
68, Albania,"0,502777778","0,50625","0,514583333","0,522222222","0,532638889","0,535416667","0,536805556","0,538888889","0,543055556"
85, Algeria,"0,492361111","0,499305556","0,50625","0,511111111","0,513888889","0,517361111","0,51875","0,520138889","0,522916667"
35, Andorra,"0,577083333","0,576388889","0,575","0,574305556","0,589583333","0,590277778","0,592361111","0,593055556","0,594444444"
147, Angola,"0,348611111","0,3625","0,361111111","0,371527778","0,377083333","0,384722222","0,391666667","0,397222222","0,400694444"
70, Antigua and Barbuda,"0,539583333","0,534722222","0,531944444","0,529166667","0,53125","0,533333333","0,534722222","0,538194444","0,540277778"
47, Argentina,"0,552083333","0,554861111","0,564583333","0,56875","0,568055556","0,569444444","0,569444444","0,570833333","0,570833333"
83, Armenia,"0,504861111","0,502777778","0,505555556","0,507638889","0,511805556","0,515277778","0,517361111","0,519444444","0,520138889"
3, Australia,"0,638888889","0,639583333","0,640972222","0,642361111","0,645138889","0,646527778","0,647916667","0,65","0,651388889"
20, Austria,"0,613888889","0,615277778","0,621527778","0,622916667","0,624305556","0,622916667","0,625694444","0,627083333","0,629166667"
80, Azerbaijan,"0,499305556","0,511111111","0,513888889","0,514583333","0,517361111","0,522222222","0,526388889","0,526388889","0,525694444"
54, Bahamas,"0,548611111","0,546527778","0,547916667","0,550694444","0,560416667","0,560416667","0,560416667","0,560416667","0,559722222"
43, Bahrain,"0,552777778","0,551388889","0,552777778","0,554166667","0,555555556","0,560416667","0,5625","0,577777778","0,5875"
136, Bangladesh,"0,363194444","0,371527778","0,378472222","0,386805556","0,39375","0,399305556","0,404861111","0,411111111","0,414583333"
58, Barbados,"0,542361111","0,54375","0,543055556","0,546527778","0,552083333","0,552777778","0,552777778","0,553472222","0,554861111"
53, Belarus,"0,5375","0,544444444","0,55","0,554166667","0,557638889","0,558333333","0,560416667","0,559027778","0,559027778"
17, Belgium,"0,624305556","0,624305556","0,627083333","0,627777778","0,628472222","0,630555556","0,63125","0,634027778","0,635416667"
106, Belize,"0,486111111","0,485416667","0,485416667","0,4875","0,490277778","0,489583333","0,490277778","0,492361111","0,492361111"
163, Benin,"0,320833333","0,325","0,328472222","0,332638889","0,339583333","0,347222222","0,350694444","0,352777778","0,355555556"
134, Bhutan,"0,377083333","0,384722222","0,393055556","0,399305556","0,40625","0,409027778","0,415972222","0,41875","0,422916667"
118, Bolivia (Plurinational State of),"0,444444444","0,449305556","0,450694444","0,454861111","0,459722222","0,463888889","0,46875","0,472916667","0,478472222"
77, Bosnia and Herzegovina,"0,499305556","0,5","0,495138889","0,500694444","0,513194444","0,51875","0,523611111","0,524305556","0,531944444"
101, Botswana,"0,44375","0,45","0,458333333","0,467361111","0,474305556","0,48125","0,486805556","0,490277778","0,494444444"
79, Brazil,"0,497222222","0,498611111","0,504861111","0,507638889","0,511111111","0,519444444","0,522222222","0,525694444","0,526388889"
39, Brunei Darussalam,"0,583333333","0,584722222","0,584722222","0,5875","0,591666667","0,592361111","0,592361111","0,591666667","0,591666667"
51, Bulgaria,"0,535416667","0,5375","0,540972222","0,543055556","0,545833333","0,55","0,553472222","0,560416667","0,5625"
183, Burkina Faso,"0,247916667","0,254166667","0,260416667","0,267361111","0,273611111","0,278472222","0,28125","0,286111111","0,291666667"
185, Burundi,"0,258333333","0,26875","0,274305556","0,279861111","0,283333333","0,2875","0,292361111","0,290277778","0,290277778"
125, Cabo Verde,"0,434027778","0,434722222","0,436805556","0,440972222","0,441666667","0,445833333","0,447222222","0,449305556","0,452777778"
146, Cambodia,"0,361805556","0,361805556","0,372916667","0,379166667","0,384027778","0,388888889","0,393055556","0,396527778","0,4"
151, Cameroon,"0,341666667","0,346527778","0,351388889","0,357638889","0,365277778","0,371527778","0,377083333","0,380555556","0,384027778"
12, Canada,"0,624305556","0,624305556","0,626388889","0,628472222","0,630555556","0,632638889","0,6375","0,638888889","0,640277778"
188, Central African Republic,"0,234027778","0,238194444","0,24375","0,248611111","0,253472222","0,238888889","0,242361111","0,247916667","0,251388889"
186, Chad,"0,241666667","0,252083333","0,257638889","0,265277778","0,271527778","0,275694444","0,279861111","0,282638889","0,28125"
